path,size_bytes,lfs_sha256,row_count,first_id,last_id,model_count,models_json,error
data/train-00000-of-00210.parquet,195358286,00ea1bdc7c622ebc2ea9476575824387601a51fcf1fe165440969be58fd50086,31,04501,04531,1,"{""Udio"": 31}",
data/train-00001-of-00210.parquet,195353087,4190bc385ae0a412cc8482a5f888263dfaf3f189bbc3996bc10892d1441a5779,31,04532,04562,1,"{""Udio"": 31}",
data/train-00002-of-00210.parquet,195356008,d8f5ae214c58ab11171adb7e61f622924c3d54e111bbc755391d634ec8c8b732,31,04563,04593,1,"{""Udio"": 31}",
data/train-00003-of-00210.parquet,75388685,3613451c58e5044be7936b227b11aa6acce68905ad5bf8f0b73409665a2da369,31,04594,00024,2,"{""MusicGen Small"": 24, ""Udio"": 7}",
data/train-00004-of-00210.parquet,40401539,46b536c90324584f321a0d95ac2654a043817fd1848cbb410d1e25ff7f8f25e2,31,00025,00055,1,"{""MusicGen Small"": 31}",
data/train-00005-of-00210.parquet,40401538,f441a006a15cf8b4de277fe61cd3f64a52d7a5ecb2776911320c96712525f23c,31,00056,00086,1,"{""MusicGen Small"": 31}",
data/train-00006-of-00210.parquet,40401536,a4bd19b213e3f001ff910c5f507afe42d3d3bd71a7f5941622c91d29a4530dda,31,00087,00117,1,"{""MusicGen Small"": 31}",
data/train-00007-of-00210.parquet,40401537,6e9d4c95ae082135240c20bad943590b7cc8173e1cf14d7b533499f763ba4f13,31,00118,00148,1,"{""MusicGen Small"": 31}",
data/train-00008-of-00210.parquet,40401510,8481ca761f10d290f620c81a63bb07ada4115bd4108390fe850d6798ba6c70fd,31,00149,00179,1,"{""MusicGen Small"": 31}",
data/train-00009-of-00210.parquet,40401551,cd67a8bc5047d90fd7d50592c27f9a998e98e4bfbb1faeb86382e8b48ef98ed2,31,00180,00210,1,"{""MusicGen Small"": 31}",
data/train-00010-of-00210.parquet,40401483,7d11a0bcc92a96ab81f0fd72420996a8b98b988ea2d021d34d8382ad8700b3ab,31,00211,00241,1,"{""MusicGen Small"": 31}",
data/train-00011-of-00210.parquet,40401455,8f6a411abb98520ded37dc8851a869b3708bd9d77c33aa662a7a9c1e8561bd5f,31,00242,00272,1,"{""MusicGen Small"": 31}",
data/train-00012-of-00210.parquet,40401514,c6f35b38e493f2aa525f2381e35f28f2d6110a0d50b85d6b37e0da2f000bdc04,31,00273,00303,1,"{""MusicGen Small"": 31}",
data/train-00013-of-00210.parquet,40401474,f4749da649faf5cbf46815c0879eaa7d8f58096c5658d3adcfc59f229d476182,31,00304,00334,1,"{""MusicGen Small"": 31}",
data/train-00014-of-00210.parquet,40401521,5b5547f45d69534162e3a6704de79310f8ddb92e242c6458dc2ca97bda5d336a,31,00335,00365,1,"{""MusicGen Small"": 31}",
data/train-00015-of-00210.parquet,40401482,55b9fbbd401041b8af001f9ff6bfc18499d066a108ee5bb42e21518cd8b05e3d,31,00366,00396,1,"{""MusicGen Small"": 31}",
data/train-00016-of-00210.parquet,40401536,77ca638eebf175fd7f5e1caf3f7b5ff608de69edf18ca0c7246295c1ca690c0f,31,00397,00427,1,"{""MusicGen Small"": 31}",
data/train-00017-of-00210.parquet,40401492,a52af12dcbd5fc0959cea17d682fc3e7c0707716e04f53aeb6cd4fa6313c5bd1,31,00428,00458,1,"{""MusicGen Small"": 31}",
data/train-00018-of-00210.parquet,40401463,44a866b1cd0fb633814581e004b1f31058cd392435fc70643c1ad82d21c2b812,31,00459,00489,1,"{""MusicGen Small"": 31}",
