provider,provider_shard_ordinal,repository_path,target_filename,expected_bytes,expected_sha256,expected_rows,first_id,last_id,selection_reason,download_status
AudioLDM 2 Large,1,data/train-00065-of-00210.parquet,train-00065-of-00210.parquet,19311260,968c4743a0f2c242a4ef554c5357ff097333843800c05f36a05da247037bde6b,31,01502,01532,pure_provider_evenly_spaced_id_range,PENDING
AudioLDM 2 Large,2,data/train-00070-of-00210.parquet,train-00070-of-00210.parquet,19251624,e2b0c620906c68c64810b78ab4c14fa65dd0251d4a6973754616aa53fecf5fc2,31,01657,01687,pure_provider_evenly_spaced_id_range,PENDING
AudioLDM 2 Large,3,data/train-00075-of-00210.parquet,train-00075-of-00210.parquet,19286787,7fcd3e7a607b1d3082f9406b514e07f0ffec531267223e94ceca13086738f093,31,01812,01842,pure_provider_evenly_spaced_id_range,PENDING
AudioLDM 2 Large,4,data/train-00080-of-00210.parquet,train-00080-of-00210.parquet,19178171,153397693ff9166e8d47b77d9b29e9227cadd6bddcac8eb09a9b08a28df435bd,31,01967,01997,pure_provider_evenly_spaced_id_range,PENDING
AudioLDM 2 Music,1,data/train-00086-of-00210.parquet,train-00086-of-00210.parquet,19171025,82462d5034d5871977bd0bceeaa3e708b5133d2be7f016a830e6bf93fb1306ec,31,02015,02045,pure_provider_evenly_spaced_id_range,PENDING
AudioLDM 2 Music,2,data/train-00091-of-00210.parquet,train-00091-of-00210.parquet,19051339,25cc072e5ca1239ba6c844b67156fa78e86e61d59970cc4dfb5b934ca63b1f73,31,02170,02200,pure_provider_evenly_spaced_id_range,PENDING
AudioLDM 2 Music,3,data/train-00095-of-00210.parquet,train-00095-of-00210.parquet,18900187,bc73302b5c3549abae7f6b48c24573650a591905a2f3e8d2af1f8b96426dabf4,31,02294,02324,pure_provider_evenly_spaced_id_range,PENDING
AudioLDM 2 Music,4,data/train-00100-of-00210.parquet,train-00100-of-00210.parquet,18990086,e6e3f886dd72361a95d6797e55e7bccf0a1ad1fa6b985c394afc547050005cfc,31,02449,02479,pure_provider_evenly_spaced_id_range,PENDING
MusicGen Large,1,data/train-00045-of-00210.parquet,train-00045-of-00210.parquet,40401535,4dd21afb37fb34aead95d988b7a183ef342296020a58e900812ccedcd273bd57,31,01020,01050,pure_provider_evenly_spaced_id_range,PENDING
MusicGen Large,2,data/train-00050-of-00210.parquet,train-00050-of-00210.parquet,40401491,8416e0f0fe263fc49622c02446ae48cac0fd9a235be9561d1e72053dfe4af5ad,31,01175,01205,pure_provider_evenly_spaced_id_range,PENDING
