dataset,head,row_count,observed_count,masked_count,observed_values
aime-open-model-subset,FILE_FAKE_PROB,1116,1116,0,1
aime-open-model-subset,VOICE_FAKE_PROB,1116,0,1116,
aime-open-model-subset,MUSIC_FAKE_PROB,1116,1116,0,1
aime-open-model-subset,VOICE_PRESENT_PROB,1116,1116,0,0
aime-open-model-subset,MUSIC_PRESENT_PROB,1116,1116,0,1
fma-small,FILE_FAKE_PROB,5129,5129,0,0
fma-small,VOICE_FAKE_PROB,5129,0,5129,
fma-small,MUSIC_FAKE_PROB,5129,5129,0,0
fma-small,VOICE_PRESENT_PROB,5129,0,5129,
fma-small,MUSIC_PRESENT_PROB,5129,5129,0,1
ljspeech-1.1,FILE_FAKE_PROB,13100,13100,0,0
ljspeech-1.1,VOICE_FAKE_PROB,13100,13100,0,0
ljspeech-1.1,MUSIC_FAKE_PROB,13100,0,13100,
ljspeech-1.1,VOICE_PRESENT_PROB,13100,13100,0,1
ljspeech-1.1,MUSIC_PRESENT_PROB,13100,13100,0,0
wavefake-1.2.0,FILE_FAKE_PROB,117983,117983,0,1
wavefake-1.2.0,VOICE_FAKE_PROB,117983,117983,0,1
wavefake-1.2.0,MUSIC_FAKE_PROB,117983,0,117983,
wavefake-1.2.0,VOICE_PRESENT_PROB,117983,117983,0,1
wavefake-1.2.0,MUSIC_PRESENT_PROB,117983,117983,0,0
