scope,axis,slice,head,weight,observed_count,positive_count,status,auc,eer,brier,log_loss,ece_15,selection_component
validation_seed_20260830_contract_fixture_non_model,dataset,aime-open-model-subset,FILE_FAKE_PROB,0.45,121,121,INSUFFICIENT_CLASSES,,,,,,
validation_seed_20260830_contract_fixture_non_model,dataset,aime-open-model-subset,VOICE_FAKE_PROB,0.18,0,0,INSUFFICIENT_CLASSES,,,,,,
validation_seed_20260830_contract_fixture_non_model,dataset,aime-open-model-subset,MUSIC_FAKE_PROB,0.27,121,121,INSUFFICIENT_CLASSES,,,,,,
validation_seed_20260830_contract_fixture_non_model,dataset,aime-open-model-subset,VOICE_PRESENT_PROB,0.05,121,0,INSUFFICIENT_CLASSES,,,,,,
validation_seed_20260830_contract_fixture_non_model,dataset,aime-open-model-subset,MUSIC_PRESENT_PROB,0.05,121,121,INSUFFICIENT_CLASSES,,,,,,
validation_seed_20260830_contract_fixture_non_model,dataset,fma-small,FILE_FAKE_PROB,0.45,366,0,INSUFFICIENT_CLASSES,,,,,,
validation_seed_20260830_contract_fixture_non_model,dataset,fma-small,VOICE_FAKE_PROB,0.18,0,0,INSUFFICIENT_CLASSES,,,,,,
validation_seed_20260830_contract_fixture_non_model,dataset,fma-small,MUSIC_FAKE_PROB,0.27,366,0,INSUFFICIENT_CLASSES,,,,,,
validation_seed_20260830_contract_fixture_non_model,dataset,fma-small,VOICE_PRESENT_PROB,0.05,0,0,INSUFFICIENT_CLASSES,,,,,,
validation_seed_20260830_contract_fixture_non_model,dataset,fma-small,MUSIC_PRESENT_PROB,0.05,366,366,INSUFFICIENT_CLASSES,,,,,,
validation_seed_20260830_contract_fixture_non_model,dataset,ljspeech-1.1,FILE_FAKE_PROB,0.45,1309,0,INSUFFICIENT_CLASSES,,,,,,
validation_seed_20260830_contract_fixture_non_model,dataset,ljspeech-1.1,VOICE_FAKE_PROB,0.18,1309,0,INSUFFICIENT_CLASSES,,,,,,
validation_seed_20260830_contract_fixture_non_model,dataset,ljspeech-1.1,MUSIC_FAKE_PROB,0.27,0,0,INSUFFICIENT_CLASSES,,,,,,
