provider,provider_class,manifest_rows,audio_files,curated_unique_files,ambiguous_path_files,unreferenced_extra_files,decode_error_files,observed_format,observed_sample_rate_hz,observed_channels,provider_license_tier,evidence_status,conservative_training_eligibility,training_eligible
acestep,REQUESTED_MODEL_LINEAGE_CANDIDATE,294,295,294,0,1,0,MP3,48000,2,OPEN_MODEL_FAMILY_EXACT_REVISION_UNVERIFIED,CONDITIONAL_MODEL_VERSION_AND_OUTPUT_LINEAGE_NOT_PROVEN,CONDITIONAL_HOLD,False
audioldm,REQUESTED_MODEL_LINEAGE_CANDIDATE,587,587,587,0,0,0,MP3,16000,1,OPEN_MODEL_FAMILY_EXACT_REVISION_UNVERIFIED,CONDITIONAL_MODEL_VERSION_AND_OUTPUT_LINEAGE_NOT_PROVEN,CONDITIONAL_HOLD,False
brev,COMMERCIAL_PROVIDER,298,298,298,0,0,0,MP3,48000,2,COMMERCIAL_ACCOUNT_TIER_UNKNOWN,HOLD_GENERATION_TIER_AND_OUTPUT_RIGHTS_NOT_PROVEN,HOLD,False
diffrhythm,REQUESTED_MODEL_LINEAGE_CANDIDATE,594,594,594,0,0,0,MP3,44100,2,OPEN_MODEL_FAMILY_EXACT_REVISION_UNVERIFIED,CONDITIONAL_MODEL_VERSION_AND_OUTPUT_LINEAGE_NOT_PROVEN,CONDITIONAL_HOLD,False
elevenlabs,COMMERCIAL_PROVIDER,300,300,300,0,0,0,MP3,44100,2,COMMERCIAL_ACCOUNT_TIER_UNKNOWN,HOLD_GENERATION_TIER_AND_OUTPUT_RIGHTS_NOT_PROVEN,HOLD,False
mubert,COMMERCIAL_PROVIDER,149,149,149,0,0,0,MP3,44100,2,COMMERCIAL_ACCOUNT_TIER_UNKNOWN,HOLD_GENERATION_TIER_AND_OUTPUT_RIGHTS_NOT_PROVEN,HOLD,False
musicgen,REQUESTED_MODEL_LINEAGE_CANDIDATE,591,587,585,2,0,0,WAV,32000,1,OPEN_MODEL_FAMILY_EXACT_REVISION_UNVERIFIED,CONDITIONAL_MODEL_VERSION_AND_OUTPUT_LINEAGE_NOT_PROVEN,CONDITIONAL_HOLD,False
producer,COMMERCIAL_PROVIDER,300,300,300,0,0,0,MP3,44100,2,COMMERCIAL_ACCOUNT_TIER_UNKNOWN,HOLD_GENERATION_TIER_AND_OUTPUT_RIGHTS_NOT_PROVEN,HOLD,False
songgen,REQUESTED_MODEL_LINEAGE_CANDIDATE,561,584,561,0,23,22,MP3,"16000; undecodable=22","1; undecodable=22",OPEN_MODEL_FAMILY_EXACT_REVISION_UNVERIFIED,CONDITIONAL_MODEL_VERSION_AND_OUTPUT_LINEAGE_NOT_PROVEN,CONDITIONAL_HOLD,False
stableaudio,COMMERCIAL_PROVIDER,194,194,194,0,0,0,MP3,44100,2,COMMERCIAL_ACCOUNT_TIER_UNKNOWN,HOLD_GENERATION_TIER_AND_OUTPUT_RIGHTS_NOT_PROVEN,HOLD,False
suno,COMMERCIAL_PROVIDER,300,300,300,0,0,0,MP3,48000,2,COMMERCIAL_ACCOUNT_TIER_UNKNOWN,HOLD_GENERATION_TIER_AND_OUTPUT_RIGHTS_NOT_PROVEN,HOLD,False
udio,COMMERCIAL_PROVIDER,300,300,300,0,0,0,MP3,48000,2,COMMERCIAL_ACCOUNT_TIER_UNKNOWN,HOLD_GENERATION_TIER_AND_OUTPUT_RIGHTS_NOT_PROVEN,HOLD,False
