table,column,rows,missing,missing_fraction,unique_non_null,dtype
tracks.csv,album|comments,106574,0,0.000000000,18,int64
tracks.csv,album|date_created,106574,3529,0.033113142,14340,str
tracks.csv,album|date_released,106574,36280,0.340420741,3669,str
tracks.csv,album|engineer,106574,91279,0.856484696,622,str
tracks.csv,album|favorites,106574,0,0.000000000,44,int64
tracks.csv,album|id,106574,0,0.000000000,14854,int64
tracks.csv,album|information,106574,23425,0.219800327,11075,str
tracks.csv,album|listens,106574,0,0.000000000,10092,int64
tracks.csv,album|producer,106574,88514,0.830540282,760,str
tracks.csv,album|tags,106574,0,0.000000000,2388,str
tracks.csv,album|title,106574,1025,0.009617730,14298,str
tracks.csv,album|tracks,106574,0,0.000000000,115,int64
tracks.csv,album|type,106574,6508,0.061065551,5,str
tracks.csv,artist|active_year_begin,106574,83863,0.786899244,76,str
tracks.csv,artist|active_year_end,106574,101199,0.949565560,57,str
tracks.csv,artist|associated_labels,106574,92303,0.866093043,754,str
tracks.csv,artist|bio,106574,35418,0.332332464,6084,str
tracks.csv,artist|comments,106574,0,0.000000000,31,int64
tracks.csv,artist|date_created,106574,856,0.008031978,15970,str
tracks.csv,artist|favorites,106574,0,0.000000000,128,int64
tracks.csv,artist|id,106574,0,0.000000000,16341,int64
tracks.csv,artist|latitude,106574,62030,0.582036895,1306,float64
tracks.csv,artist|location,106574,36364,0.341208925,2329,str
tracks.csv,artist|longitude,106574,62030,0.582036895,1296,float64
tracks.csv,artist|members,106574,59725,0.560408730,4015,str
tracks.csv,artist|name,106574,0,0.000000000,16294,str
tracks.csv,artist|related_projects,106574,93422,0.876592790,752,str
tracks.csv,artist|tags,106574,0,0.000000000,15660,str
tracks.csv,artist|website,106574,27318,0.256328936,6642,str
tracks.csv,artist|wikipedia_page,106574,100993,0.947632631,389,str
tracks.csv,set|split,106574,0,0.000000000,3,str
tracks.csv,set|subset,106574,0,0.000000000,3,str
tracks.csv,track|bit_rate,106574,0,0.000000000,12054,int64
tracks.csv,track|comments,106574,0,0.000000000,18,int64
tracks.csv,track|composer,106574,102904,0.965563834,505,str
tracks.csv,track|date_created,106574,0,0.000000000,86169,str
tracks.csv,track|date_recorded,106574,100415,0.942209169,773,str
tracks.csv,track|duration,106574,0,0.000000000,2246,int64
tracks.csv,track|favorites,106574,0,0.000000000,243,int64
tracks.csv,track|genre_top,106574,56976,0.534614446,16,str
tracks.csv,track|genres,106574,0,0.000000000,4768,str
tracks.csv,track|genres_all,106574,0,0.000000000,4151,str
tracks.csv,track|information,106574,104225,0.977958977,1586,str
tracks.csv,track|interest,106574,0,0.000000000,14396,int64
tracks.csv,track|language_code,106574,91550,0.859027530,44,str
tracks.csv,track|license,106574,87,0.000816334,113,str
tracks.csv,track|listens,106574,0,0.000000000,12035,int64
tracks.csv,track|lyricist,106574,106263,0.997081840,66,str
tracks.csv,track|number,106574,0,0.000000000,246,int64
tracks.csv,track|publisher,106574,105311,0.988149080,135,str
tracks.csv,track|tags,106574,0,0.000000000,2451,str
tracks.csv,track|title,106574,1,0.000009383,94986,str
raw_tracks.csv,track_id,109727,0,0.000000000,109727,int64
raw_tracks.csv,album_id,109727,1041,0.009487182,15713,float64
raw_tracks.csv,album_title,109727,1041,0.009487182,15136,str
raw_tracks.csv,album_url,109727,1041,0.009487182,27948,str
raw_tracks.csv,artist_id,109727,0,0.000000000,17166,int64
raw_tracks.csv,artist_name,109727,0,0.000000000,17117,str
raw_tracks.csv,artist_url,109727,0,0.000000000,17166,str
raw_tracks.csv,artist_website,109727,27897,0.254240069,7205,str
raw_tracks.csv,license_image_file,109727,336,0.003062145,90,str
raw_tracks.csv,license_image_file_large,109727,824,0.007509546,9,str
raw_tracks.csv,license_parent_id,109727,26036,0.237279794,7,float64
raw_tracks.csv,license_title,109727,87,0.000792877,114,str
raw_tracks.csv,license_url,109727,88,0.000801990,111,str
raw_tracks.csv,tags,109727,0,0.000000000,2482,str
raw_tracks.csv,track_bit_rate,109727,130,0.001184759,12124,float64
raw_tracks.csv,track_comments,109727,0,0.000000000,18,int64
raw_tracks.csv,track_composer,109727,105937,0.965459732,513,str
raw_tracks.csv,track_copyright_c,109727,108029,0.984525231,130,str
raw_tracks.csv,track_copyright_p,109727,108801,0.991560874,62,str
raw_tracks.csv,track_date_created,109727,0,0.000000000,88767,str
raw_tracks.csv,track_date_recorded,109727,103283,0.941272431,810,str
raw_tracks.csv,track_disc_number,109727,0,0.000000000,6,int64
raw_tracks.csv,track_duration,109727,0,0.000000000,2282,str
raw_tracks.csv,track_explicit,109727,106248,0.968294039,3,str
raw_tracks.csv,track_explicit_notes,109727,109666,0.999444075,38,str
raw_tracks.csv,track_favorites,109727,0,0.000000000,243,int64
raw_tracks.csv,track_file,109727,7,0.000063795,108807,str
raw_tracks.csv,track_genres,109727,2609,0.023777192,4877,str
raw_tracks.csv,track_image_file,109727,1190,0.010845097,58404,str
raw_tracks.csv,track_information,109727,107343,0.978273351,1604,str
raw_tracks.csv,track_instrumental,109727,0,0.000000000,2,int64
raw_tracks.csv,track_interest,109727,0,0.000000000,14461,int64
raw_tracks.csv,track_language_code,109727,94127,0.857828976,46,str
raw_tracks.csv,track_listens,109727,0,0.000000000,12096,int64
raw_tracks.csv,track_lyricist,109727,109389,0.996919628,69,str
raw_tracks.csv,track_number,109727,0,0.000000000,247,int64
raw_tracks.csv,track_publisher,109727,108439,0.988261777,138,str
raw_tracks.csv,track_title,109727,1,0.000009114,97687,str
raw_tracks.csv,track_url,109727,1041,0.009487182,108686,str
