track_id,relative_path,file_bytes,extension,file_sha256,file_sha1,expected_sha1,checksum_match,signature_status,id3v2_signature,mpeg_frame_signature_found,first_mpeg_frame_offset,metadata_present,strict_allowlist,license_category,license_allow_by_classifier,allowlist_membership_matches_classifier,split,subset,artist_id,album_id,component_id,component_cross_split,genre_top,license_title,license_url,track_title,track_file,metadata_bit_rate,raw_track_bit_rate,metadata_track_duration_seconds,raw_track_duration_seconds,decode_status,ffmpeg_return_code,ffmpeg_wall_timeout,decode_hit_120_second_cap,codec,sample_rate_hz,channels,channel_layout,container_bitrate_kbps,stream_bitrate_kbps,ffmpeg_reported_duration_seconds,decoded_duration_seconds,duration_delta_from_30_seconds,abs_duration_delta_from_30_seconds,decoded_pcm_sha256,decoded_sample_count,peak_abs_normalized,rms_normalized,silent_sample_count,silent_sample_fraction_lt_1e_4,clipped_sample_count,clipped_sample_fraction_ge_0_999,ffmpeg_error_excerpt,issues
2,000/000002.mp3,960738,.mp3,879d4ecdd0911c20db8fbd5c6bde2d3647131211d6a190f7232534d52beb9e02,6976e70271234351250ada3fc49c5afd69ba9864,6976e70271234351250ada3fc49c5afd69ba9864,True,MP3_FRAMES_VALIDATED,True,True,269,True,True,ALLOW_BY_NC_SA,True,True,training,small,1,1,fma-small-cc-000002,False,Hip-Hop,Attribution-NonCommercial-ShareAlike 3.0 International,http://creativecommons.org/licenses/by-nc-sa/3.0/,Food,music/WFMU/AWOL/AWOL_-_A_Way_Of_Life/AWOL_-_03_-_Food.mp3,256000,256000,168.0,168.0,OK,0,False,False,mp3,44100,2,stereo,256,256,29.99,29.976575963718822,-0.023424036281177507,0.023424036281177507,3ac40cd700e20849bf726734968b90e49fb842c1f8ce711c3cc1c1fc7a57e24e,2643934,0.999969482421875,0.16723892669212903,3989,0.0015087366023508908,1,3.7822426732286056e-07,,
5,000/000005.mp3,961580,.mp3,b7cbb36c72c887574089105f87739c0745c0fe6b75ac3b16c8763e1902972cc2,d25363d1167965f376a0e837fa5faa662598cfe5,d25363d1167965f376a0e837fa5faa662598cfe5,True,MP3_FRAMES_VALIDATED,True,True,275,True,True,ALLOW_BY_NC_SA,True,True,training,small,1,1,fma-small-cc-000002,False,Hip-Hop,Attribution-NonCommercial-ShareAlike 3.0 International,http://creativecommons.org/licenses/by-nc-sa/3.0/,This World,music/WFMU/AWOL/AWOL_-_A_Way_Of_Life/AWOL_-_06_-_This_World.mp3,256000,256000,206.0,206.0,OK,0,False,False,mp3,44100,2,stereo,256,256,30.01,30.00269841269841,0.00269841269841109,0.00269841269841109,ac44383958ee06c44495b24fe1e477d3e424ece046904130ad52eaf608951838,2646238,0.63092041015625,0.1698312120552769,3836,0.0014496050619785521,0,0.0,,
10,000/000010.mp3,721040,.mp3,a766844a1aaa69bcc4d7e5892604cbf13e438cf3425a7cafb3d0efb0ac74d432,0efc06eab57f36065d7ccff153db8fa2d16df28f,0efc06eab57f36065d7ccff153db8fa2d16df28f,True,MP3_FRAMES_VALIDATED,True,True,688,True,False,EXCLUDE_ND,False,True,training,small,6,6,fma-small-cc-000010,True,Pop,Attribution-NonCommercial-NoDerivatives (aka Music Sharing) 3.0 International,http://creativecommons.org/licenses/by-nc-nd/3.0/,Freeway,music/WFMU/Kurt_Vile/Constant_Hitmaker/Kurt_Vile_-_01_-_Freeway.mp3,192000,192000,161.0,161.0,OK,0,False,False,mp3,44100,2,stereo,192,192,29.99,29.976575963718822,-0.023424036281177507,0.023424036281177507,30435cd128db31694e71338721c1c8b7f46aa0add0f46d85faebb84472c39e7f,2643934,1.0,0.2154255641053366,1480,0.0005597719156378336,406,0.0001535590525330814,,
140,000/000140.mp3,480497,.mp3,1a9fe4b9bc521c1cfc6fa32cd2979ac30c5a076aad20e3b46840fa70c0b00c86,208851706e7fe3b7c1a679cfb76f2139f205c943,208851706e7fe3b7c1a679cfb76f2139f205c943,True,MP3_FRAMES_VALIDATED,True,True,263,True,False,EXCLUDE_ND,False,True,training,small,54,61,fma-small-cc-000140,False,Folk,Attribution-Noncommercial-No Derivative Works 3.0 United States,http://creativecommons.org/licenses/by-nc-nd/3.0/us/,Queen Of The Wires,music/WFMU/Alec_K_Redfearn_and_the_Eyesores/The_Blind_Spot/Alec_K_Redfearn_and_the_Eyesores_-_02_-_Queen_Of_The_Wires.mp3,128000,128000,253.0,253.0,OK,0,False,False,mp3,44100,2,stereo,128,128,29.99,29.976575963718822,-0.023424036281177507,0.023424036281177507,8b81c7d6811414be3d3e43090735c1fa85e01b40740b5a0b6936bd646577d4be,2643934,0.9747314453125,0.08359774852168118,8381,0.0031698975844328945,0,0.0,,
141,000/000141.mp3,480945,.mp3,714b1bc525b716d6071302d7459fd2a768d038e7467f2ce915e7a3fc7d7d0e1a,f19f507137614cdedee99d297848a7ba553c36ae,f19f507137614cdedee99d297848a7ba553c36ae,True,MP3_FRAMES_VALIDATED,True,True,711,True,False,EXCLUDE_ND,False,True,training,small,54,60,fma-small-cc-000140,False,Folk,Attribution-Noncommercial-No Derivative Works 3.0 United States,http://creativecommons.org/licenses/by-nc-nd/3.0/us/,Ohio,music/WFMU/Alec_K_Redfearn_and_the_Eyesores/Every_Man_For_Himself/Alec_K_Redfearn_and_the_Eyesores_-_04_-_Ohio.mp3,128000,128000,182.0,182.0,OK,0,False,False,mp3,44100,2,stereo,128,128,29.99,29.976575963718822,-0.023424036281177507,0.023424036281177507,d8ea727a0fdd0738f62556ff7567359a5a422da9b484826ae39fa835fca68127,2643934,1.0,0.13263128578323466,7574,0.0028646706007033457,2,7.564485346457211e-07,,
148,000/000148.mp3,960721,.mp3,0eed59cbf6577230f689af9e75c52e31697e1f4773be6784e253930fc6ea8a6b,5fbfb6ca42ca49b11d2fcc2f592a4e7122be1e47,5fbfb6ca42ca49b11d2fcc2f592a4e7122be1e47,True,MP3_FRAMES_VALIDATED,True,True,252,True,True,ALLOW_BY_NC_SA,True,True,validation,small,57,66,fma-small-cc-000148,False,Experimental,Attribution-Noncommercial-Share Alike 3.0 United States,http://creativecommons.org/licenses/by-nc-sa/3.0/us/,Blackout 2,music/WFMU/Contradiction/Contradiction/Contradiction_-_02_-_Blackout_2.mp3,256000,256000,138.0,138.0,OK,0,False,False,mp3,44100,2,stereo,256,256,29.99,29.976575963718822,-0.023424036281177507,0.023424036281177507,8a762b39a80843a2730618132e78d96f3345f663d2324954924040c409610c58,2643934,1.0,0.6668277489058717,1872,0.000708035828428395,351974,0.13312510826669652,,
182,000/000182.mp3,961955,.mp3,4c4e9b47c7a16443c2fa770849739a5bb282ae9d3ba833a9c137d7d0a2f94361,ca6d3d1edbd68d47829736a095404677d2c32e77,ca6d3d1edbd68d47829736a095404677d2c32e77,True,MP3_FRAMES_VALIDATED,True,True,650,True,False,EXCLUDE_ND,False,True,test,small,64,80,fma-small-cc-000182,False,Rock,Attribution-Noncommercial-No Derivative Works 3.0 United States,http://creativecommons.org/licenses/by-nc-nd/3.0/us/,Jules Lost His Jewels,music/WFMU/Ariel_Pinks_Haunted_Graffiti/Worn_Copy/Ariel_Pinks_Haunted_Graffiti_-_03_-_Jules_Lost_His_Jewels.mp3,256000,256000,228.0,228.0,OK,0,False,False,mp3,44100,2,stereo,256,256,30.01,30.00269841269841,0.00269841269841109,0.00269841269841109,0dd2ebe8051a5447e22be78659305fe200dabd893ce7fab4e6fdfb173eb7c495,2646238,1.0,0.3012064251843904,1336,0.0005048676649643759,100,3.778949588056706e-05,,
190,000/000190.mp3,961577,.mp3,07c766a3200d0f9e8ea70dff15aa62111b28addb5bf3b61453b4e292b1d97f86,9fa86798cbba27b28d13376842067df7a5f43417,9fa86798cbba27b28d13376842067df7a5f43417,True,MP3_FRAMES_VALIDATED,True,True,272,True,True,ALLOW_BY_NC_SA,True,True,training,small,127,84,fma-small-cc-000190,False,Folk,Attribution-NonCommercial-ShareAlike 3.0 International,http://creativecommons.org/licenses/by-nc-sa/3.0/,Castle Of Stars,music/WFMU/Ed_Askew/Blue_Piano/Ed_Askew_-_02_-_Castle_Of_Stars.mp3,256000,256000,249.0,249.0,OK,0,False,False,mp3,44100,2,stereo,256,256,30.01,30.00269841269841,0.00269841269841109,0.00269841269841109,b4df2e39cca9398eef2207ec4b2114b53e61ba3b1e37a909001886bbb6ee2ae5,2646238,1.0,0.14949009962915466,3654,0.0013808281794759202,207,7.82242564727738e-05,,
193,000/000193.mp3,960739,.mp3,7e17dda4dcde547b80bb957af25b40e7065dcb8c439ce114a4235d2134498959,f1c345e5716927dae50909b8f79f8cc3a6654577,f1c345e5716927dae50909b8f79f8cc3a6654577,True,MP3_FRAMES_VALIDATED,True,True,270,True,True,ALLOW_BY_NC_SA,True,True,training,small,127,84,fma-small-cc-000190,False,Folk,Attribution-NonCommercial-ShareAlike 3.0 International,http://creativecommons.org/licenses/by-nc-sa/3.0/,Here With You,music/WFMU/Ed_Askew/Blue_Piano/Ed_Askew_-_03_-_Here_With_You.mp3,256000,256000,254.0,254.0,OK,0,False,False,mp3,44100,2,stereo,256,256,29.99,29.976575963718822,-0.023424036281177507,0.023424036281177507,41825621a68f9b22c5f733b91182dae29dbb34f2191c9c22f480352d30ebd335,2643934,0.82110595703125,0.09924644591302073,22669,0.008573965915941926,0,0.0,,
194,000/000194.mp3,961579,.mp3,f7a1121da1fb7a92d9e594c026773f0edd1b13860b18fc28cb161bc96e038fb4,e8332ce9481d67137aacb018ca47a80a56b53bea,e8332ce9481d67137aacb018ca47a80a56b53bea,True,MP3_FRAMES_VALIDATED,True,True,273,True,True,ALLOW_BY_NC_SA,True,True,training,small,127,84,fma-small-cc-000190,False,Folk,Attribution-NonCommercial-ShareAlike 3.0 International,http://creativecommons.org/licenses/by-nc-sa/3.0/,All I want to Do,music/WFMU/Ed_Askew/Blue_Piano/Ed_Askew_-_04_-_All_I_want_to_Do.mp3,256000,256000,192.0,192.0,OK,0,False,False,mp3,44100,2,stereo,256,256,30.01,30.00269841269841,0.00269841269841109,0.00269841269841109,bf84c67eb3a196b7103d25534cd159f19c85885ccda7211a956777707b4a1834,2646238,0.898223876953125,0.11443597713771661,11240,0.004247539336975737,0,0.0,,
