component_id,track_count,artist_count,album_count,split_count,splits,cross_split,min_track_id,max_track_id
fma-small-cc-000002,3,1,2,1,training,False,2,80293
fma-small-cc-000010,14,2,6,2,test;training,True,10,94803
fma-small-cc-000140,2,1,2,1,training,False,140,141
fma-small-cc-000148,1,1,1,1,validation,False,148,148
fma-small-cc-000182,1,1,1,1,test,False,182,182
fma-small-cc-000190,15,1,4,1,training,False,190,3598
fma-small-cc-000213,1,1,1,1,training,False,213,213
fma-small-cc-000255,6,1,4,1,training,False,255,55437
fma-small-cc-000256,1,1,1,1,training,False,256,256
fma-small-cc-000368,1,1,1,1,training,False,368,368
fma-small-cc-000424,1,1,1,1,training,False,424,424
fma-small-cc-000459,1,1,1,1,validation,False,459,459
fma-small-cc-000534,3,1,1,1,training,False,534,546
fma-small-cc-000574,1,1,1,1,training,False,574,574
fma-small-cc-000602,1,1,1,1,validation,False,602,602
fma-small-cc-000615,1,1,1,1,training,False,615,615
fma-small-cc-000666,2,1,1,1,training,False,666,667
fma-small-cc-000676,1,1,1,1,training,False,676,676
fma-small-cc-000690,1,1,1,1,validation,False,690,690
fma-small-cc-000694,2,1,2,1,training,False,694,695
fma-small-cc-000704,6,1,1,1,test,False,704,709
fma-small-cc-000714,4,1,2,1,training,False,714,718
fma-small-cc-000777,1,1,1,1,training,False,777,777
fma-small-cc-000814,5,1,5,1,training,False,814,27856
fma-small-cc-000821,2,1,1,1,training,False,821,822
fma-small-cc-000825,1,1,1,1,training,False,825,825
fma-small-cc-000853,2,2,1,1,training,False,853,1082
fma-small-cc-000890,2,1,2,1,test,False,890,892
fma-small-cc-000897,1,1,1,1,training,False,897,897
fma-small-cc-000993,1,1,1,1,validation,False,993,993
fma-small-cc-000995,3,1,1,1,training,False,995,998
fma-small-cc-001039,4,1,3,1,training,False,1039,3840
fma-small-cc-001066,24,1,4,1,test,False,1066,63161
fma-small-cc-001083,1,1,1,1,training,False,1083,1083
fma-small-cc-001087,1,1,1,1,validation,False,1087,1087
fma-small-cc-001102,1,1,1,1,training,False,1102,1102
fma-small-cc-001193,4,1,1,1,training,False,1193,1197
fma-small-cc-001249,2,1,2,1,test,False,1249,1259
fma-small-cc-001270,1,1,1,1,training,False,1270,1270
fma-small-cc-001276,3,1,2,1,training,False,1276,1278
fma-small-cc-001417,1,1,1,1,training,False,1417,1417
fma-small-cc-001427,1,1,1,1,training,False,1427,1427
fma-small-cc-001443,2,1,2,1,training,False,1443,86576
fma-small-cc-001482,1,1,1,1,training,False,1482,1482
fma-small-cc-001510,1,1,1,1,training,False,1510,1510
fma-small-cc-001544,1,1,1,1,training,False,1544,1544
fma-small-cc-001642,4,1,1,1,training,False,1642,1661
fma-small-cc-001663,2,1,1,1,training,False,1663,1666
fma-small-cc-001673,1,1,1,1,training,False,1673,1673
fma-small-cc-001680,21,1,3,1,training,False,1680,6389
fma-small-cc-001701,4,1,2,1,training,False,1701,1704
fma-small-cc-001706,1,1,1,1,training,False,1706,1706
fma-small-cc-001720,8,1,6,1,training,False,1720,48763
fma-small-cc-001732,4,1,1,1,training,False,1732,1736
