"candidate","asset_unit","official_source","license_or_terms","noncommercial_competition_training","modify_segment_reencode_mix","all_files_to_dacon_judges","attribution_sharealike_notice_source","third_party_rights","termination_or_field_limits","decision","precondition","checked_date"
"DACON DeepVoice","contest rules and second-stage package","https://dacon.io/competitions/official/236749/overview/rules | https://dacon.io/competitions/official/236749/talkboard/417198?dtype=recent&page=1 | https://dacon.io/competitions/official/236749/talkboard/417212","official rules/FAQ","yes for public resources permitting at least noncommercial use; DACON explicitly confirms CC BY-NC-SA is usable if conditions are followed","n/a","requires every actual training file including generated audio; metadata cannot substitute","all sources and license conditions required","participant bears rights risk","disqualification risk if unreproducible/noncompliant","GATE","treat judge delivery as sharing/conveyance and document permission","2026-08-30"
"ASVspoof 2021 DF","database compilation","https://www.asvspoof.org/index2021.html | https://zenodo.org/records/4835108","ODC-By 1.0 per official ASVspoof page","likely yes","database extraction/adaptation yes","unclear for individual FLAC contents","ODC-By URL/notice/database attribution; upstream manifest","individual recordings and multi-source DF provenance not fully covered by ODC-By","ODC breach terminates; contents rights separate","CONDITIONAL","written ASVspoof/EURECOM confirmation for full audio and derived-file judge transfer","2026-08-30"
"ASVspoof 2019 LA/PA","database plus audio","https://datashare.ed.ac.uk/items/31074a11-b6f6-4e92-a4ad-07093f8c0c45 | https://datashare.ed.ac.uk/server/api/core/bitstreams/60c7de6d-37d3-45c1-b52e-9f18b0338e47/content","ODC-By 1.0","likely yes","database rights yes; audio contents uncertain","unclear","ODC attribution/license/notice/source","derived from VCTK; contents rights gap","ODC termination on breach","CONDITIONAL","written confirmation covering audio contents and DACON transfer","2026-08-30"
"ASVspoof 2019 real PA","audio/database","https://www.asvspoof.org/Database_ASVspoof2019_real_PA_License.pdf","bespoke EURECOM license","internal research only","limited by agreement","no; transfer prohibited","agreement notices","recorded real PA and beneficiary restrictions","signed access; transfer ban; delete within 36 months after end; survival clauses","NO-GO","do not acquire/use for this contest","2026-08-30"
"ASVspoof 2015","dataset audio/protocol","https://datashare.ed.ac.uk/items/a714c9b8-4acd-43a2-ac45-68eebcd070de/full","CC BY 4.0","yes","yes; record changes","yes under CC BY","creator/title/DOI/source/license/changes","speaker personality/privacy outside license; avoid impersonation","CC termination with 30-day cure mechanism","GO","use canonical DataShare release; preserve license.txt and file manifest","2026-08-30"
"WaveFake","dataset audio","https://zenodo.org/records/5642694 | https://zenodo.org/record/5642694/files/datasheet.pdf","CC BY-SA 4.0; JSUT-related research-purpose distribution permission noted in datasheet","yes","yes; shared adaptations BY-SA; isolate from BY-NC/BY-NC-SA mixes","yes under CC BY-SA with attribution/license/source/changes and no additional restrictions","creator/source/license/changes; SA; no extra restrictions","LJSpeech/JSUT source rights and speaker rights","CC termination; preserve datasheet and source notices","GO","canonical Zenodo release; preserve datasheet/attribution; BY-SA-only mixing stratum","2026-08-30"
"WaveFake","code","https://github.com/RUB-SysSec/WaveFake | https://github.com/RUB-SysSec/WaveFake/blob/main/LICENSE","MIT","yes","yes","yes for code","retain copyright and permission notice","does not license dataset audio","MIT warranty disclaimer","GO","keep code notice; do not apply MIT label to audio","2026-08-30"
"LibriSpeech","audio corpus","https://www.openslr.org/12 | https://librivox.org/pages/public-domain/","CC BY 4.0; derived from LibriVox public-domain project","yes","yes","yes under CC BY","OpenSLR/authors/paper/source/license/changes","LibriVox says US public domain; outside US verify jurisdiction; books/translations/readings/speaker rights","CC termination; jurisdictional public-domain uncertainty","CONDITIONAL","title-level Korea public-domain allowlist or written clarification","2026-08-30"
"LJSpeech","dataset audio/transcripts/metadata","https://keithito.com/LJ-Speech-Dataset/","public domain","yes","yes","yes","retain canonical source/archive hash/change log for reproducibility","single-speaker representation limit; avoid impersonation","none stated on official page","GO","use as matched real control for WaveFake English samples; do not treat one speaker as all real speech","2026-08-30"
"MedleyDB","multitrack/stems","https://medleydb.weebly.com/downloads.html","CC BY-NC-SA 4.0 plus site request not to republish without consent","yes under DACON's public/noncommercial rule","NC adaptations yes and BY-NC-SA; do not mix with BY-SA","not without resolving the site's no-republication request","artist/track/source/license/changes; NC; SA","underlying composition/lyrics/performance/personality","gated request; no-republication request; CC termination","CONDITIONAL","written NYU/rights-holder consent for full/derived judge transfer","2026-08-30"
"MUSDB18","full songs/stems","https://sigsep.github.io/datasets/musdb.html | https://raw.githubusercontent.com/sigsep/website/master/content/datasets/assets/tracklist.csv","academic-only access; many tracks Restricted; mixed provenance","not safely established","not uniformly permitted","no for full set","per-track obligations vary","DSD100/Mixing Secrets/MedleyDB/Native Instruments/Easton Ellises","gated; academic field restriction; track-specific restrictions","NO-GO","exclude full set; separately clear individual tracks only if indispensable","2026-08-30"
"Meta AudioCraft","code","https://github.com/facebookresearch/audiocraft | https://github.com/facebookresearch/audiocraft/blob/main/LICENSE","MIT","yes","yes","code redistribution yes","retain MIT notice","does not license weights or generated WAV","MIT warranty disclaimer","GO","separate code notice from weight/output status","2026-08-30"
"MusicGen","model weights","https://github.com/facebookresearch/audiocraft/blob/main/LICENSE_weights | https://huggingface.co/facebook/musicgen-small","CC BY-NC 4.0","yes under DACON's public/noncommercial rule","weight modification/fine-tuning only for NC; melody input separately licensed","weight distribution allowed under CC BY-NC conditions; scope DACON need separately","creator/source/license/changes; NC","training sources and conditioning inputs; no warranty","NC purpose restriction; CC termination; no post-contest commercial reuse","GO","preserve model revision/hash and weight attribution/license/changes","2026-08-30"
"MusicGen","generated WAV output","https://github.com/facebookresearch/audiocraft/blob/main/model_cards/MUSICGEN_MODEL_CARD.md","no explicit output ownership/license found","unknown","unknown; do not infer weight license applies to output","unknown","model/prompt/seed/revision/params/hash provenance","possible training-source/output third-party claims; melody rights","model card asks downstream risk assessment","CONDITIONAL","written Meta confirmation of output use and DACON judge transfer","2026-08-30"
"FakeMusicCaps v2","Zenodo audio ZIP","https://zenodo.org/records/15063698 | https://github.com/polimi-ispl/FakeMusicCaps/blob/main/LICENSE","Zenodo Rights/License blank; GitHub repo CC BY-NC scope to ZIP unclear","unknown","unknown","unknown","unknown until authors clarify","MusicCaps captions plus outputs from five models with different terms","possible NC plus generator-specific limits","NO-GO","explicit dataset-audio license and model-by-model output/transfer permission","2026-08-30"
"Stable Audio Open Small","model/materials","https://huggingface.co/stabilityai/stable-audio-open-small | https://huggingface.co/stabilityai/stable-audio-open-small/blob/main/LICENSE","Stability AI Community License; gated agreement","yes for research/NC use under the Community License","model materials/derivatives per license; output owned by user as between parties","generated output transfer likely possible but AUP/law applies; confirm exact-file judge delivery","license/NOTICE/Powered by terms when materials/derivatives distributed","no non-infringement warranty; training/output third-party rights remain","revocable; breach deletion; IP-litigation termination; foundation-model restriction; AUP","CONDITIONAL","accept gated terms as correct entrant; snapshot license/AUP; confirm detector/output judge delivery","2026-08-30"
"FMA verified subset","track audio","https://github.com/mdeff/fma | https://arxiv.org/abs/1612.01840","artist-chosen per-track license; project does not own audio","yes for CC0/BY/BY-SA/BY-NC/BY-NC-SA under their conditions","yes per selected license; exclude ND; keep BY-SA and NC/NC-SA mixing strata separate","yes per selected license and attribution/NC/SA conditions","artist/title/track URL/license/download date/hash/changes per file","artist ownership; stale/missing metadata; compositions/performances","track-specific license and possible source changes","CONDITIONAL","verify each current track; exclude ND/custom/restricted/unknown and isolate incompatible SA strata","2026-08-30"
