id,relative_path,file_bytes,file_sha256,pcm_sha256,parse_status,channels,sample_rate_hz,sample_width_bits,compression_type,compression_name,frames,duration_seconds,sample_count,peak_abs_normalized,rms_normalized,silent_sample_fraction_lt_1e_4,clipped_sample_fraction_ge_0_999,silent_sample_count,clipped_sample_count,metadata_present,transcript_chars,normalized_transcript_chars,normalized_text_group_sha256,id_pattern_valid,issues
LJ001-0001,wavs/LJ001-0001.wav,425830,4d2bd83ff0f7fe33491b03193abdf623f1b4cc2d8103972b33638d3607d86dc5,18387cb7d27c3868282f260a6b78e8038df0e434dd5fe902962c538af9df944f,OK,1,22050,16,NONE,not compressed,212893,9.65501133786848,212893,0.86492919921875,0.0967759211145506,0.017792975814141375,0.0,3788,0,True,151,151,edb57a673652bb04c05566b330c16d82a0b3911bc9d22671e328f61d2654dfc6,True,
LJ001-0002,wavs/LJ001-0002.wav,83814,6563390fa42121eeeab15f49fa91fd26afe000022bfdaaa882f06224ad549599,b752933ba505eaa44fb202cb14969f19ac3c8ce52ea4a338a8c6890252490da8,OK,1,22050,16,NONE,not compressed,41885,1.899546485260771,41885,0.497802734375,0.0829243364602197,0.009669332696669452,0.0,405,0,True,30,30,807756e5dcd86c791c21ef10930c8a02e80885c110138d4249c320afbc8f7f7e,True,
LJ001-0003,wavs/LJ001-0003.wav,426342,ad97822fa512b4897a01557423ffff7cc1fc763c9b9d5d502a5a1bc566f7440b,abf31f3e82f80f15aa58a08f2fce3cf382c1fd7ecd4fb3ae30cef28d2a557c50,OK,1,22050,16,NONE,not compressed,213149,9.666621315192744,213149,0.9520263671875,0.11237389344890554,0.010584145363102806,0.0,2256,0,True,155,155,f20822ffb12832898ad60358f7ac422b43d6c2bbe98e99403ea833379f6206f8,True,
LJ001-0004,wavs/LJ001-0004.wav,226662,3c9cce186f26b6690b1d96a6a640c3f1bdb10e1f206738344190fa264955a7af,c29868995a9c8e19eac9ee5b1257198ffdb9774603872fc68171e6b7c5c62b01,OK,1,22050,16,NONE,not compressed,113309,5.138730158730159,113309,0.623046875,0.08476923016868895,0.016132875587993895,0.0,1828,0,True,89,89,2f347421d0250f129b38425033d4ecd37608171e60b977b0aa430bd692b01449,True,
LJ001-0005,wavs/LJ001-0005.wav,357734,0d95df8cd780f0ed4f71d74559d42b33cc98ae9e7b398e0eceb17428dfacb9ca,13c70c72876d9821fcfdc6279dc6a24bea754b684d1267213868bf7c317d5bed,OK,1,22050,16,NONE,not compressed,178845,8.110884353741497,178845,0.656280517578125,0.08716038825427598,0.016673655959070704,0.0,2982,0,True,143,143,f4fabba39324547e2ef9caadc88b8cc88ba79079e3a977d6a6955b316835c089,True,
LJ001-0006,wavs/LJ001-0006.wav,250726,4b866eebe1e7cb6ded4bcb27caa0638b8ade67a6a8a2f7132952b716dc7006db,9e92a06762be11ae432573f6f2a8ec41e06811d0d8108c46027a5f6e1e7849e9,OK,1,22050,16,NONE,not compressed,125341,5.684399092970522,125341,0.6903076171875,0.09128671354511382,0.016913858992668,0.0,2120,0,True,74,74,8d7025c4628ece40356ce1100720977f2b3c0b55fbf36411560909a800e8aa0d,True,
LJ001-0007,wavs/LJ001-0007.wav,370022,6e7e94440dd92e2a11f26d64d55e05303b86a9632d7aa65b93bb83ae01c1119c,33a06c1cc911f8705d57974763ded0908df04ebd974dc2f89407c48eab3f60df,OK,1,22050,16,NONE,not compressed,184989,8.38952380952381,184989,0.847259521484375,0.10140358300184672,0.015957705593305546,0.0,2952,0,True,101,116,172ad1fa473c13fcf48e5b4a4ec4c3af3a24ca91247920fa2c8bbc04418be4ed,True,
LJ001-0008,wavs/LJ001-0008.wav,78694,298f66ac69a0dcc1dd3b03236d74ea18599a2608fa0af22123e0ff58a175ee8f,59842a28bf23b403c427bf96d51f69276e58bb20beef97f36994ac8b6aa5ff36,OK,1,22050,16,NONE,not compressed,39325,1.7834467120181405,39325,0.771942138671875,0.09593511423282489,0.011163382072472982,0.0,439,0,True,25,25,8b27a7a6238907f1e0e9a549cc75ed8946835b2b9e0d1548337cde72d5299fe4,True,
LJ001-0009,wavs/LJ001-0009.wav,333158,d003373f9c769b17995cfff2a99818e720a56f3376678b27fc6c9c27539c3f75,f4d109f2871c101857d7deac1d344e64cab4c5d2d82689b373ba5ace5d85c7d0,OK,1,22050,16,NONE,not compressed,166557,7.55360544217687,166557,0.82623291015625,0.1023041868485762,0.017975828094886435,0.0,2994,0,True,104,104,1655ab5daa563a62575bec44c9f86ad772de72b06fd6802f7755f8c4875da7aa,True,
LJ001-0010,wavs/LJ001-0010.wav,388966,c60d0565bda9ac6076da930bab34d29ea7d1dd8961446b948f73e0a90ccd62de,5c10649f0be3355e20a482f825bff42cc75122f69b996d2154247cb9527a0a6b,OK,1,22050,16,NONE,not compressed,194461,8.819092970521542,194461,0.95623779296875,0.09833858010933245,0.020183995762646494,0.0,3925,0,True,116,116,32aa582ea9df2c1dcc4911d1d53f998b11995cbb8a02a1536e8308f71a96618b,True,
