duplicate_type,sha256,member_count,ids
normalized_text_group_sha256,1a6a6dcb9f057ff28c623e9a16a83628d4fe8b6da6005bc8b1822ae7a5e0cf44,2,LJ039-0003;LJ049-0002
normalized_text_group_sha256,1d315bf13b1621f01afdb260392b97158eaad602a79d944836d5d83a024d630c,8,LJ031-0001;LJ034-0001;LJ038-0001;LJ039-0002;LJ042-0001;LJ043-0001;LJ044-0001;LJ049-0001
normalized_text_group_sha256,2596579c9719a1b5e2e54e2b392cbdbc1bde61b78011570296cd00744bba2c34,2,LJ042-0002;LJ043-0002
normalized_text_group_sha256,3580196d8ac12dc41585c4949474e6c665672d5adb4c0c79ebffa1ac9fb434aa,2,LJ033-0012;LJ038-0135
normalized_text_group_sha256,35a145f7b6357e6c7270cfcc4ca0583c065d731465e3f86a7f68c3bc19094e3e,2,LJ023-0098;LJ023-0104
normalized_text_group_sha256,4f3aa127dfd964e8430c5f086b4fd05e75e47172d0a7a2c32e9e3b9456818de8,2,LJ048-0038;LJ048-0113
normalized_text_group_sha256,961ad25f34ba610740fcda89cc3625b2086ab1ae22d1faec2850b403fab6ec21,2,LJ030-0050;LJ049-0016
normalized_text_group_sha256,ad91b5001d2ee0114ef422e4d721881611d1bae997592b0746bebbe58f4138bf,2,LJ032-0239;LJ038-0304
normalized_text_group_sha256,bc811b10e36bb05e43dec62bcb90cfab92fd728f561c0ef66b01c8e6b1899bf9,12,LJ029-0001;LJ030-0001;LJ032-0001;LJ033-0001;LJ035-0001;LJ036-0001;LJ037-0001;LJ040-0001;LJ041-0001;LJ045-0001;LJ047-0001;LJ048-0001
normalized_text_group_sha256,e221713ec54cd428bb45978c6e4b0313297f195a1f734f706064c46a96b276f8,2,LJ050-0135;LJ050-0197
