dataset_dir,role,source_family,generator,member_count,unique_source_id_count,crc_ok_count,parse_ok_count,training_eligible_count,compressed_bytes,uncompressed_bytes,codec_counts,sample_rate_counts,channel_counts,bits_per_sample_counts,total_duration_seconds,duration_min_seconds,duration_p50_seconds,duration_max_seconds,weighted_silence_fraction_lt_1e_4,silence_ge_50pct_count,weighted_clipping_fraction_ge_0_999,clipping_ge_1pct_count
common_voices_prompts_from_conformer_fastspeech2_pwg_ljspeech,generated,common_voice_prompt,conformer_fastspeech2_parallel_wavegan,16283,16283,16283,16283,16283,2366773167,2788135588,"{""pcm_s16le"": 16283}","{""22050"": 16283}","{""1"": 16283}","{""16"": 16283}",63206.7831292517,0.6733786848072563,3.866122448979592,11.377777777777778,0.016397661697045908,0,0.0,0
common_voices_prompts_from_conformer_fastspeech2_pwg_ljspeech,redundant_duplicate_copy,common_voice_prompt,conformer_fastspeech2_parallel_wavegan,16283,16283,16283,16283,0,2366773167,2788135588,"{""pcm_s16le"": 16283}","{""22050"": 16283}","{""1"": 16283}","{""16"": 16283}",63206.7831292517,0.6733786848072563,3.866122448979592,11.377777777777778,0.016397661697045908,0,0.0,0
jsut_multi_band_melgan,generated,jsut_basic5000,multi_band_melgan,5000,5000,5000,5000,5000,915140006,1173194200,"{""pcm_s16le"": 5000}","{""24000"": 5000}","{""1"": 5000}","{""16"": 5000}",24436.9625,1.45,4.06875,16.375,0.007913892735236632,0,0.0,0
jsut_parallel_wavegan,generated,jsut_basic5000,parallel_wavegan,5000,5000,5000,5000,5000,922642104,1173194200,"{""pcm_s16le"": 5000}","{""24000"": 5000}","{""1"": 5000}","{""16"": 5000}",24436.9625,1.45,4.06875,16.375,0.008490867062549201,0,0.0,0
ljspeech_full_band_melgan,generated,ljspeech,full_band_melgan,13100,13100,13100,13100,13100,3193595434,3800930704,"{""pcm_s16le"": 13100}","{""22050"": 13100}","{""1"": 13100}","{""16"": 13100}",86175.83455782312,1.1145578231292517,6.768616780045352,10.100680272108843,0.02063641800909308,0,0.0,0
ljspeech_hifiGAN,generated,ljspeech,hifigan,13100,13100,13100,13100,13100,3184301126,3794226064,"{""pcm_s16le"": 13100}","{""22050"": 13100}","{""1"": 13100}","{""16"": 13100}",86023.8019047619,1.1029478458049886,6.757006802721088,10.08907029478458,0.021914722592581495,0,0.0,0
ljspeech_melgan,generated,ljspeech,melgan,13100,13100,13100,13100,13100,3198299175,3800930704,"{""pcm_s16le"": 13100}","{""22050"": 13100}","{""1"": 13100}","{""16"": 13100}",86175.83455782312,1.1145578231292517,6.768616780045352,10.100680272108843,0.0197511973873055,0,0.0,0
ljspeech_melgan_large,generated,ljspeech,melgan_large,13100,13100,13100,13100,13100,3195956226,3800930704,"{""pcm_s16le"": 13100}","{""22050"": 13100}","{""1"": 13100}","{""16"": 13100}",86175.83455782312,1.1145578231292517,6.768616780045352,10.100680272108843,0.020046609317403263,0,0.0,0
ljspeech_multi_band_melgan,generated,ljspeech,multi_band_melgan,13100,13100,13100,13100,13100,3173375937,3800930704,"{""pcm_s16le"": 13100}","{""22050"": 13100}","{""1"": 13100}","{""16"": 13100}",86175.83455782312,1.1145578231292517,6.768616780045352,10.100680272108843,0.022512135752698493,0,5.262667214725041e-10,0
ljspeech_parallel_wavegan,generated,ljspeech,parallel_wavegan,13100,13100,13100,13100,13100,3161733117,3800930704,"{""pcm_s16le"": 13100}","{""22050"": 13100}","{""1"": 13100}","{""16"": 13100}",86175.83455782312,1.1145578231292517,6.768616780045352,10.100680272108843,0.022347610040097988,0,0.0,0
ljspeech_waveglow,generated,ljspeech,waveglow,13100,13100,13100,13100,13100,3200037697,3800933264,"{""pcm_s16le"": 13100}","{""22050"": 13100}","{""1"": 13100}","{""16"": 13100}",86175.89260770976,1.1145578231292517,6.768616780045352,10.100680272108843,0.02061544607617144,0,1.5998497555833747e-07,0
