archive_scope,member_path,is_dir,safe_path,compressed_bytes,uncompressed_bytes,compression,crc32_expected,sha256,signature,extension_signature,read_crc_status
outer,baseline_submit.zip,0,1,4563503493,4562809110,DEFLATED,8a916958,cc86f143915c95fd958a0066cbf14b0db9f4c41fd213310c3650b9fe870d0c70,ZIP,MATCH,OK
outer,data/,1,1,0,0,STORED,00000000,,DIRECTORY,NOT_APPLICABLE,NOT_APPLICABLE
outer,data/sample_submission.csv,0,1,70,183,DEFLATED,ece02df4,eac4949d0567d60e4009988eeb40ecaf19466d93ff923865976a6cf0b9644b37,UTF8_TEXT,MATCH,OK
outer,data/test/,1,1,0,0,STORED,00000000,,DIRECTORY,NOT_APPLICABLE,NOT_APPLICABLE
outer,data/test/TEST_0000.wav,0,1,74520,109006,DEFLATED,9a27d1c2,ff2b127a79b5e6a3b9e9c3eaa1d6552a862a11c4104279831ee5b5af8e114203,WAV,MATCH,OK
outer,data/test/TEST_0001.wav,0,1,74520,109006,DEFLATED,9a27d1c2,ff2b127a79b5e6a3b9e9c3eaa1d6552a862a11c4104279831ee5b5af8e114203,WAV,MATCH,OK
outer,data/test/TEST_0002.wav,0,1,74520,109006,DEFLATED,9a27d1c2,ff2b127a79b5e6a3b9e9c3eaa1d6552a862a11c4104279831ee5b5af8e114203,WAV,MATCH,OK
baseline_submit.zip,model/,1,1,0,0,STORED,00000000,,DIRECTORY,NOT_APPLICABLE,NOT_APPLICABLE
baseline_submit.zip,model/df_arena_1b/,1,1,0,0,STORED,00000000,,DIRECTORY,NOT_APPLICABLE,NOT_APPLICABLE
baseline_submit.zip,model/df_arena_1b/.gitattributes,0,1,201,1519,DEFLATED,83a10daa,11ad7efa24975ee4b0c3c3a38ed18737f0658a5f75a0a96787b576a78a023361,UTF8_TEXT_OR_EMPTY,NO_SIGNATURE_RULE,OK
baseline_submit.zip,model/df_arena_1b/.gitignore,0,1,0,0,STORED,00000000,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,EMPTY,NO_SIGNATURE_RULE,OK
baseline_submit.zip,model/df_arena_1b/__init__.py,0,1,0,0,STORED,00000000,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,EMPTY,MATCH,OK
baseline_submit.zip,model/df_arena_1b/backbone.py,0,1,899,2344,DEFLATED,5bf08fe3,397df32fb0b1a1296b292ec698e7edca44f98c5f2afe3655bf182ad01fa5a11c,UTF8_TEXT,MATCH,OK
baseline_submit.zip,model/df_arena_1b/config.json,0,1,274,600,DEFLATED,8622c992,e9f6b651fb2f83d320b5e10b38bc104afdc57641839d16dd1b4921e9eae49a43,JSON_TEXT,MATCH,OK
baseline_submit.zip,model/df_arena_1b/configuration_antispoofing.py,0,1,187,325,DEFLATED,82bda91f,dd4a40789c2383896ce743effdd48cb6cdbd2f01c4bcdd7d4b71d7fb92869cf7,UTF8_TEXT,MATCH,OK
baseline_submit.zip,model/df_arena_1b/conformer.py,0,1,2358,8741,DEFLATED,b68d375e,84651dc9e81aaf4a32b400a621aa37e8f22e656a8207c5f4120cbb6e682c5540,UTF8_TEXT,MATCH,OK
baseline_submit.zip,model/df_arena_1b/facebook/,1,1,0,0,STORED,00000000,,DIRECTORY,NOT_APPLICABLE,NOT_APPLICABLE
baseline_submit.zip,model/df_arena_1b/facebook/wav2vec2-xls-r-1b/,1,1,0,0,STORED,00000000,,DIRECTORY,NOT_APPLICABLE,NOT_APPLICABLE
baseline_submit.zip,model/df_arena_1b/facebook/wav2vec2-xls-r-1b/config.json,0,1,602,1570,DEFLATED,591c9da6,36668778db09d5c64090b62d6afb66ba63057304fe456a45388066ff7dabb997,JSON_TEXT,MATCH,OK
baseline_submit.zip,model/df_arena_1b/feature_extraction_antispoofing.py,0,1,411,1046,DEFLATED,dffb32b9,f549bce974e527a5bf57fd5544ba793d35d99c5db8047600d1c905308a8aacf7,UTF8_TEXT,MATCH,OK
baseline_submit.zip,model/df_arena_1b/LICENSE.txt,0,1,1251,3264,DEFLATED,818307f3,903d5ad67a67b3a919981892948e984bdf349053d54f1563c6497f48cdaf75b4,UTF8_TEXT_OR_EMPTY,MATCH,OK
baseline_submit.zip,model/df_arena_1b/modeling_antispoofing.py,0,1,364,822,DEFLATED,3e762c53,a7925c0ba67ef090552e0c337be6e6b3efffd53c3193e2310b30675af968c624,UTF8_TEXT,MATCH,OK
baseline_submit.zip,model/df_arena_1b/pipeline_antispoofing.py,0,1,522,1502,DEFLATED,6448471f,a308720d1be9fa6c948bd91648a1ec83a1465a178ae0da29f3cc48fe425170b4,UTF8_TEXT,MATCH,OK
baseline_submit.zip,model/df_arena_1b/preprocessor_config.json,0,1,86,147,DEFLATED,ef4eef68,e23aafe2a4a2a7c0caaefdc6e4b1e131774137fdeaa50fb5376764b05dacb3c7,JSON_TEXT,MATCH,OK
baseline_submit.zip,model/df_arena_1b/pytorch_model.bin,0,1,4178994485,4591794734,DEFLATED,92dba1d4,780bc14fd4c15e65d58efdef728427cf03cd29cd60be528e97badf8c89087988,ZIP,MATCH,OK
baseline_submit.zip,model/df_arena_1b/README.md,0,1,1486,3043,DEFLATED,417165ee,0f577f45eea69a99eb55404569c6efa814dfb15b22791bf33bc652c0e134d75a,UTF8_TEXT,MATCH,OK
baseline_submit.zip,model/htdemucs/,1,1,0,0,STORED,00000000,,DIRECTORY,NOT_APPLICABLE,NOT_APPLICABLE
baseline_submit.zip,model/htdemucs/955717e8-8726e21a.th,0,1,77966987,84141911,DEFLATED,6f4d7f9f,8726e21a993978c7ba086d3872e7608d7d5bfca646ca4aca459ffda844faa8b4,ZIP,NO_SIGNATURE_RULE,OK
baseline_submit.zip,model/htdemucs/htdemucs.yaml,0,1,23,21,DEFLATED,3b707354,239c445d0b14454d541ad8bd9bb271c9e536d267e8a4625208744cbb2e7bb66c,UTF8_TEXT_OR_EMPTY,NO_SIGNATURE_RULE,OK
